TaskNumber;N;FuncNumber;eps;r;min;IsSolvePerebor;timePerebor;IterPerebor;IsSolveAGP;timeAGP;IterAGP;
75;2;1; 0.001000; 3.600000; -11.003852;1; 13.554385;5000;1; 1.344000;824; 
76;2;1; 0.001000; 3.600000; -9.959369;1; 12.142265;5000;1; 4.232000;1231; 
77;2;1; 0.001000; 3.600000; -11.386479;1; 12.646704;5000;1; 0.615000;558; 
78;2;1; 0.001000; 3.600000; -11.446572;1; 12.133885;5000;1; 1.315000;787; 
79;2;1; 0.001000; 3.600000; -14.170564;1; 13.197333;5000;1; 0.151000;276; 
80;2;1; 0.001000; 3.600000; -10.619866;1; 12.155011;5000;1; 0.614000;554; 
81;2;1; 0.001000; 3.600000; -11.321909;1; 12.718603;5000;1; 1.550000;694; 
82;2;1; 0.001000; 3.600000; -10.952365;1; 13.388011;5000;1; 2.831000;1074; 
83;2;1; 0.001000; 3.600000; -11.416539;1; 13.849517;5000;1; 0.858000;659; 
84;2;1; 0.001000; 3.600000; -12.054238;1; 12.147529;5000;1; 0.366000;428; 
85;2;1; 0.001000; 3.600000; -10.458983;1; 12.083776;5000;1; 1.095000;739; 
86;2;1; 0.001000; 3.600000; -9.429296;1; 14.464826;5000;1; 0.272000;370; 
87;2;1; 0.001000; 3.600000; -10.452633;1; 12.031373;5000;1; 2.145000;1042; 
88;2;1; 0.001000; 3.600000; -10.753069;1; 12.163292;5000;1; 1.473000;861; 
89;2;1; 0.001000; 3.600000; -9.816686;1; 11.968958;5000;1; 3.515000;1334; 
90;2;1; 0.001000; 3.600000; -12.207365;1; 13.370857;5000;1; 0.941000;691; 
91;2;1; 0.001000; 3.600000; -10.391872;1; 12.108837;5000;1; 2.332000;1090; 
92;2;1; 0.001000; 3.600000; -9.689064;1; 13.309293;5000;1; 3.337000;1302; 
93;2;1; 0.001000; 3.600000; -11.918313;1; 12.003864;5000;1; 1.457000;857; 
94;2;1; 0.001000; 3.600000; -10.429421;1; 13.800750;5000;1; 1.680000;922; 
95;2;1; 0.001000; 3.600000; -10.349460;1; 13.959237;5000;1; 5.647000;1495; 
96;2;1; 0.001000; 3.600000; -9.013780;1; 13.415553;5000;1; 1.776000;949; 
97;2;1; 0.001000; 3.600000; -8.916829;1; 12.195211;5000;1; 0.133000;257; 
98;2;1; 0.001000; 3.600000; -8.747847;1; 14.643206;5000;1; 6.197000;1776; 
99;2;1; 0.001000; 3.600000; -12.769816;1; 12.136442;5000;1; 1.278000;805; 
100;2;1; 0.001000; 3.600000; -11.438820;1; 13.328634;5000;1; 0.420000;459; 
